Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
Anguilla,AIA,Female,FEM,Anguilla,AIA,0,0,0,0,0
Anguilla,AIA,Female,FEM,Antigua and Barbuda,ATG,3,4,2,0,15
Anguilla,AIA,Female,FEM,Argentina,ARG,0,0,0,0,0
Anguilla,AIA,Female,FEM,Aruba,ABW,65,62,58,6,7
Anguilla,AIA,Female,FEM,"Bahamas, The",BHS,6,0,0,0,0
Anguilla,AIA,Female,FEM,Barbados,BRB,62,32,6,6,7
Anguilla,AIA,Female,FEM,Belize,BLZ,0,0,0,0,0
Anguilla,AIA,Female,FEM,Bolivia,BOL,0,0,0,0,0
Anguilla,AIA,Female,FEM,Brazil,BRA,0,0,0,0,0
Anguilla,AIA,Female,FEM,Cayman Islands,CYM,0,0,0,0,13
Anguilla,AIA,Female,FEM,Chile,CHL,0,0,0,0,9
Anguilla,AIA,Female,FEM,Colombia,COL,0,0,0,0,12
Anguilla,AIA,Female,FEM,Costa Rica,CRI,0,0,0,0,0
Anguilla,AIA,Female,FEM,Cuba,CUB,24,21,12,8,8
Anguilla,AIA,Female,FEM,Dominica,DMA,10,6,2,3,4
Anguilla,AIA,Female,FEM,Dominican Republic,DOM,86,92,79,74,73
Anguilla,AIA,Female,FEM,Ecuador,ECU,0,0,0,0,0
Anguilla,AIA,Female,FEM,El Salvador,SLV,0,0,0,0,0
Anguilla,AIA,Female,FEM,Falkland Islands (Malvinas),FLK,0,0,0,0,0
Anguilla,AIA,Female,FEM,French Guiana,GUF,0,0,1,3,4
Anguilla,AIA,Female,FEM,Grenada,GRD,25,13,1,3,6
Anguilla,AIA,Female,FEM,Guadeloupe,GLP,5,10,20,45,43
Anguilla,AIA,Female,FEM,Guatemala,GTM,0,0,0,0,0
Anguilla,AIA,Female,FEM,Guyana,GUY,0,0,0,0,0
Anguilla,AIA,Female,FEM,Haiti,HTI,2,3,4,5,7
Anguilla,AIA,Female,FEM,Honduras,HND,0,0,0,0,0
Anguilla,AIA,Female,FEM,Jamaica,JAM,21,14,11,10,33
Anguilla,AIA,Female,FEM,Martinique,MTQ,0,0,11,0,0
Anguilla,AIA,Female,FEM,Mexico,MEX,1,0,0,10,2
Anguilla,AIA,Female,FEM,Montserrat,MSR,15,9,3,2,0
Anguilla,AIA,Female,FEM,Netherlands Antilles,ANT,542,513,484,38,260
Anguilla,AIA,Female,FEM,Nicaragua,NIC,0,0,0,0,0
Anguilla,AIA,Female,FEM,Panama,PAN,0,0,0,0,0
Anguilla,AIA,Female,FEM,Paraguay,PRY,0,0,0,0,0
Anguilla,AIA,Female,FEM,Peru,PER,0,0,0,0,0
Anguilla,AIA,Female,FEM,Puerto Rico,PRI,7,22,32,14,306
Anguilla,AIA,Female,FEM,St. Kitts and Nevis,KNA,193,152,146,3,75
Anguilla,AIA,Female,FEM,St. Lucia,LCA,9,6,3,5,15
Anguilla,AIA,Female,FEM,St. Vincent and the Grenadines,VCT,0,0,0,4,6
Anguilla,AIA,Female,FEM,Suriname,SUR,0,0,0,0,0
Anguilla,AIA,Female,FEM,Trinidad and Tobago,TTO,508,231,20,14,21
Anguilla,AIA,Female,FEM,Turks and Caicos Islands,TCA,0,2,4,2,2
Anguilla,AIA,Female,FEM,Uruguay,URY,0,0,0,0,0
Anguilla,AIA,Female,FEM,"Venezuela, RB",VEN,0,0,0,0,0
Anguilla,AIA,Female,FEM,Virgin Islands (U.S.),VIR,65,97,766,825,557
Anguilla,AIA,Female,FEM,"Virgin Islands, British",VGB,0,1,2,0,0
Anguilla,AIA,Male,MAL,Anguilla,AIA,0,0,0,0,0
Anguilla,AIA,Male,MAL,Antigua and Barbuda,ATG,3,4,2,0,8
Anguilla,AIA,Male,MAL,Argentina,ARG,0,0,0,0,0
Anguilla,AIA,Male,MAL,Aruba,ABW,8,8,8,3,5
Anguilla,AIA,Male,MAL,"Bahamas, The",BHS,7,0,0,0,0
Anguilla,AIA,Male,MAL,Barbados,BRB,35,18,4,4,4
Anguilla,AIA,Male,MAL,Belize,BLZ,0,0,0,0,0
Anguilla,AIA,Male,MAL,Bolivia,BOL,0,0,0,0,0
Anguilla,AIA,Male,MAL,Brazil,BRA,0,0,0,0,0
Anguilla,AIA,Male,MAL,Cayman Islands,CYM,0,0,0,0,15
Anguilla,AIA,Male,MAL,Chile,CHL,0,0,0,0,6
Anguilla,AIA,Male,MAL,Colombia,COL,0,0,0,0,22
Anguilla,AIA,Male,MAL,Costa Rica,CRI,0,0,0,0,0
Anguilla,AIA,Male,MAL,Cuba,CUB,44,41,22,13,20
Anguilla,AIA,Male,MAL,Dominica,DMA,10,6,2,6,9
Anguilla,AIA,Male,MAL,Dominican Republic,DOM,235,199,163,131,97
Anguilla,AIA,Male,MAL,Ecuador,ECU,0,0,0,0,0
Anguilla,AIA,Male,MAL,El Salvador,SLV,0,0,0,0,0
Anguilla,AIA,Male,MAL,Falkland Islands (Malvinas),FLK,0,0,0,0,0
Anguilla,AIA,Male,MAL,French Guiana,GUF,0,0,1,3,4
Anguilla,AIA,Male,MAL,Grenada,GRD,23,12,1,3,6
Anguilla,AIA,Male,MAL,Guadeloupe,GLP,5,7,18,42,35
Anguilla,AIA,Male,MAL,Guatemala,GTM,0,0,0,0,0
Anguilla,AIA,Male,MAL,Guyana,GUY,0,0,0,0,0
Anguilla,AIA,Male,MAL,Haiti,HTI,1,4,5,8,11
Anguilla,AIA,Male,MAL,Honduras,HND,0,0,0,0,0
Anguilla,AIA,Male,MAL,Jamaica,JAM,19,15,11,10,30
Anguilla,AIA,Male,MAL,Martinique,MTQ,0,0,11,0,0
Anguilla,AIA,Male,MAL,Mexico,MEX,2,0,0,0,2
Anguilla,AIA,Male,MAL,Montserrat,MSR,15,10,3,3,0
Anguilla,AIA,Male,MAL,Netherlands Antilles,ANT,412,326,252,27,294
Anguilla,AIA,Male,MAL,Nicaragua,NIC,0,0,0,0,0
Anguilla,AIA,Male,MAL,Panama,PAN,0,0,0,0,0
Anguilla,AIA,Male,MAL,Paraguay,PRY,0,0,0,0,0
Anguilla,AIA,Male,MAL,Peru,PER,0,0,0,0,0
Anguilla,AIA,Male,MAL,Puerto Rico,PRI,7,20,29,13,260
Anguilla,AIA,Male,MAL,St. Kitts and Nevis,KNA,217,166,156,4,59
Anguilla,AIA,Male,MAL,St. Lucia,LCA,11,7,3,5,15
Anguilla,AIA,Male,MAL,St. Vincent and the Grenadines,VCT,0,0,0,4,6
Anguilla,AIA,Male,MAL,Suriname,SUR,0,0,0,0,0
Anguilla,AIA,Male,MAL,Trinidad and Tobago,TTO,479,210,20,12,20
Anguilla,AIA,Male,MAL,Turks and Caicos Islands,TCA,0,2,4,2,2
Anguilla,AIA,Male,MAL,Uruguay,URY,0,0,0,0,0
Anguilla,AIA,Male,MAL,"Venezuela, RB",VEN,0,0,0,0,0
Anguilla,AIA,Male,MAL,Virgin Islands (U.S.),VIR,60,98,501,777,549
Anguilla,AIA,Male,MAL,"Virgin Islands, British",VGB,0,2,2,0,0
Anguilla,AIA,Total,TOT,Anguilla,AIA,0,0,0,0,0
Anguilla,AIA,Total,TOT,Antigua and Barbuda,ATG,6,8,4,0,24
Anguilla,AIA,Total,TOT,Argentina,ARG,0,0,0,0,0
Anguilla,AIA,Total,TOT,Aruba,ABW,74,70,66,9,12
Anguilla,AIA,Total,TOT,"Bahamas, The",BHS,14,0,0,0,0
Anguilla,AIA,Total,TOT,Barbados,BRB,96,50,10,10,11
Anguilla,AIA,Total,TOT,Belize,BLZ,0,0,0,0,0
Anguilla,AIA,Total,TOT,Bolivia,BOL,0,0,0,0,0
Anguilla,AIA,Total,TOT,Brazil,BRA,0,0,0,0,0
Anguilla,AIA,Total,TOT,Cayman Islands,CYM,0,0,0,0,28
Anguilla,AIA,Total,TOT,Chile,CHL,0,0,0,0,15
Anguilla,AIA,Total,TOT,Colombia,COL,0,0,0,0,34
Anguilla,AIA,Total,TOT,Costa Rica,CRI,0,0,0,0,0
Anguilla,AIA,Total,TOT,Cuba,CUB,69,62,35,21,28
Anguilla,AIA,Total,TOT,Dominica,DMA,20,12,4,9,13
Anguilla,AIA,Total,TOT,Dominican Republic,DOM,321,291,242,205,170
Anguilla,AIA,Total,TOT,Ecuador,ECU,0,0,0,0,0
Anguilla,AIA,Total,TOT,El Salvador,SLV,0,0,0,0,0
Anguilla,AIA,Total,TOT,Falkland Islands (Malvinas),FLK,0,0,0,0,0
Anguilla,AIA,Total,TOT,French Guiana,GUF,0,1,2,6,8
Anguilla,AIA,Total,TOT,Grenada,GRD,48,25,2,7,12
Anguilla,AIA,Total,TOT,Guadeloupe,GLP,10,17,39,87,78
Anguilla,AIA,Total,TOT,Guatemala,GTM,0,0,0,0,0
Anguilla,AIA,Total,TOT,Guyana,GUY,0,0,0,0,0
Anguilla,AIA,Total,TOT,Haiti,HTI,3,7,9,13,17
Anguilla,AIA,Total,TOT,Honduras,HND,0,0,0,0,0
Anguilla,AIA,Total,TOT,Jamaica,JAM,40,29,22,21,63
Anguilla,AIA,Total,TOT,Martinique,MTQ,0,0,22,1,1
Anguilla,AIA,Total,TOT,Mexico,MEX,3,0,0,10,4
Anguilla,AIA,Total,TOT,Montserrat,MSR,30,19,6,4,0
Anguilla,AIA,Total,TOT,Netherlands Antilles,ANT,955,839,737,65,554
Anguilla,AIA,Total,TOT,Nicaragua,NIC,0,0,0,0,0
Anguilla,AIA,Total,TOT,Panama,PAN,0,0,0,0,0
Anguilla,AIA,Total,TOT,Paraguay,PRY,0,0,0,0,0
Anguilla,AIA,Total,TOT,Peru,PER,0,0,0,0,0
Anguilla,AIA,Total,TOT,Puerto Rico,PRI,14,42,61,27,566
Anguilla,AIA,Total,TOT,St. Kitts and Nevis,KNA,410,317,302,7,134
Anguilla,AIA,Total,TOT,St. Lucia,LCA,21,13,6,10,30
Anguilla,AIA,Total,TOT,St. Vincent and the Grenadines,VCT,0,0,0,7,12
Anguilla,AIA,Total,TOT,Suriname,SUR,0,0,0,0,0
Anguilla,AIA,Total,TOT,Trinidad and Tobago,TTO,987,440,39,26,41
Anguilla,AIA,Total,TOT,Turks and Caicos Islands,TCA,1,3,8,4,5
Anguilla,AIA,Total,TOT,Uruguay,URY,0,0,0,0,0
Anguilla,AIA,Total,TOT,"Venezuela, RB",VEN,0,0,0,0,0
Anguilla,AIA,Total,TOT,Virgin Islands (U.S.),VIR,125,195,1267,1603,1105
Anguilla,AIA,Total,TOT,"Virgin Islands, British",VGB,0,3,3,1,1
Antigua and Barbuda,ATG,Female,FEM,Anguilla,AIA,8,13,18,35,62
Antigua and Barbuda,ATG,Female,FEM,Antigua and Barbuda,ATG,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Argentina,ARG,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Aruba,ABW,14,13,12,20,26
Antigua and Barbuda,ATG,Female,FEM,"Bahamas, The",BHS,23,14,18,7,8
Antigua and Barbuda,ATG,Female,FEM,Barbados,BRB,219,178,157,20,24
Antigua and Barbuda,ATG,Female,FEM,Belize,BLZ,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Bolivia,BOL,0,0,0,2,0
Antigua and Barbuda,ATG,Female,FEM,Brazil,BRA,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Cayman Islands,CYM,0,0,0,0,47
Antigua and Barbuda,ATG,Female,FEM,Chile,CHL,0,0,0,7,0
Antigua and Barbuda,ATG,Female,FEM,Colombia,COL,0,0,0,0,23
Antigua and Barbuda,ATG,Female,FEM,Costa Rica,CRI,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Cuba,CUB,86,75,44,28,27
Antigua and Barbuda,ATG,Female,FEM,Dominica,DMA,37,67,100,93,135
Antigua and Barbuda,ATG,Female,FEM,Dominican Republic,DOM,164,183,164,162,168
Antigua and Barbuda,ATG,Female,FEM,Ecuador,ECU,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,El Salvador,SLV,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Falkland Islands (Malvinas),FLK,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,French Guiana,GUF,0,1,3,6,10
Antigua and Barbuda,ATG,Female,FEM,Grenada,GRD,89,50,14,11,21
Antigua and Barbuda,ATG,Female,FEM,Guadeloupe,GLP,17,36,71,158,152
Antigua and Barbuda,ATG,Female,FEM,Guatemala,GTM,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Guyana,GUY,0,19,24,6,0
Antigua and Barbuda,ATG,Female,FEM,Haiti,HTI,6,11,14,17,23
Antigua and Barbuda,ATG,Female,FEM,Honduras,HND,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Jamaica,JAM,75,49,39,37,115
Antigua and Barbuda,ATG,Female,FEM,Martinique,MTQ,0,0,40,2,3
Antigua and Barbuda,ATG,Female,FEM,Mexico,MEX,3,1,0,0,6
Antigua and Barbuda,ATG,Female,FEM,Montserrat,MSR,108,124,118,91,8
Antigua and Barbuda,ATG,Female,FEM,Netherlands Antilles,ANT,89,86,83,134,575
Antigua and Barbuda,ATG,Female,FEM,Nicaragua,NIC,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Panama,PAN,0,0,0,4,0
Antigua and Barbuda,ATG,Female,FEM,Paraguay,PRY,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Peru,PER,0,0,0,7,6
Antigua and Barbuda,ATG,Female,FEM,Puerto Rico,PRI,25,76,111,50,1063
Antigua and Barbuda,ATG,Female,FEM,St. Kitts and Nevis,KNA,156,123,118,87,86
Antigua and Barbuda,ATG,Female,FEM,St. Lucia,LCA,33,39,46,39,60
Antigua and Barbuda,ATG,Female,FEM,St. Vincent and the Grenadines,VCT,14,13,12,17,27
Antigua and Barbuda,ATG,Female,FEM,Suriname,SUR,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Trinidad and Tobago,TTO,1799,817,69,49,73
Antigua and Barbuda,ATG,Female,FEM,Turks and Caicos Islands,TCA,2,5,14,7,8
Antigua and Barbuda,ATG,Female,FEM,Uruguay,URY,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,"Venezuela, RB",VEN,0,0,0,0,0
Antigua and Barbuda,ATG,Female,FEM,Virgin Islands (U.S.),VIR,386,362,2650,3946,2560
Antigua and Barbuda,ATG,Female,FEM,"Virgin Islands, British",VGB,34,133,196,243,269
Antigua and Barbuda,ATG,Male,MAL,Anguilla,AIA,6,11,17,31,52
Antigua and Barbuda,ATG,Male,MAL,Antigua and Barbuda,ATG,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Argentina,ARG,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Aruba,ABW,2,2,2,12,18
Antigua and Barbuda,ATG,Male,MAL,"Bahamas, The",BHS,26,17,13,9,10
Antigua and Barbuda,ATG,Male,MAL,Barbados,BRB,122,95,82,14,16
Antigua and Barbuda,ATG,Male,MAL,Belize,BLZ,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Bolivia,BOL,0,0,0,5,0
Antigua and Barbuda,ATG,Male,MAL,Brazil,BRA,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Cayman Islands,CYM,0,0,1,1,50
Antigua and Barbuda,ATG,Male,MAL,Chile,CHL,0,0,0,6,0
Antigua and Barbuda,ATG,Male,MAL,Colombia,COL,0,0,0,0,9
Antigua and Barbuda,ATG,Male,MAL,Costa Rica,CRI,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Cuba,CUB,156,143,78,47,69
Antigua and Barbuda,ATG,Male,MAL,Dominica,DMA,34,64,96,103,155
Antigua and Barbuda,ATG,Male,MAL,Dominican Republic,DOM,450,373,299,231,156
Antigua and Barbuda,ATG,Male,MAL,Ecuador,ECU,0,0,0,0,5
Antigua and Barbuda,ATG,Male,MAL,El Salvador,SLV,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,Falkland Islands (Malvinas),FLK,0,0,0,0,0
Antigua and Barbuda,ATG,Male,MAL,French Guiana,GUF,0,1,3,7,10
Antigua and Barbuda,ATG,Male,MAL,Grenada,GRD,82,50,20,11,19
